wikidataID	lang	label	description	P276_location	P625_coord	ciic
	en	Toberrory Ogham Stones	Toberrory Ogham Stones (CIIC 12,13)	Q85390711	53.8075,-8.297777777777778	12,13
	en	Colbinstown Ogham Stones	Colbinstown Ogham Stones (CIIC 19,20,21,22,23,24,25)	Q85391762	53.0311111,-6.756388888888889	19,20,21,22,23,24,25
	en	Dunbell Big Ogham Stones	Dunbell Big Ogham Stones (CIIC 29,30)	Q85391719	52.6177778,-7.1722222222222225	29,30
	en	Lamoge Ogham Stones	Lamoge Ogham Stones (CIIC 36,37)	Q85391666	52.4438889,-7.360833333333333	36,37
	en	Ballynabortagh Ogham Stones	Ballynabortagh Ogham Stones (CIIC 59,60)	Q85393914	52.0102778,-8.453333333333333	59,60
	en	Glenawillin Ogham Stones	Glenawillin Ogham Stones (CIIC 63,64)	Q85393995	51.9694444,-8.175555555555555	63,64
	en	Ahalisky Ogham Stones	Ahalisky Ogham Stones (CIIC 69,70,71)	Q85394002	51.6788889,-8.846944444444444	69,70,71
	en	Carhoovauler Ogham Stones	Carhoovauler Ogham Stones (CIIC 73,74)	Q85393926	51.6883333,-8.95611111111111	73,74
	en	Rathcanning Ogham Stones	Rathcanning Ogham Stones (CIIC 79,80)	Q85393934	51.9772222,-8.075555555555555	79,80
	en	Ballyknock Ogham Stones	Ballyknock Ogham Stones (CIIC 82,83,84,85,86,87,88,89,90,91,92,93,94,95,96)	Q85394270	52.0269444,-8.071111111111112	82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
	en	Ballyhank Ogham Stones	Ballyhank Ogham Stones (CIIC 97,98,99,100,101,102)	Q85394010	51.8386111,-8.608333333333333	97,98,99,100,101,102
	en	Coolineagh Ogham Stones	Coolineagh Ogham Stones (CIIC 104,105)	Q85394077	51.9558333,-8.823888888888888	104,105
	en	Knockrour Ogham Stones	Knockrour Ogham Stones (CIIC 110,111)	Q85393940	51.9575,-8.83888888888889	110,111
