lang_en	label_en	description_en	alias_en	lang_de	label_de	description_de	alias_de	P31	P361	P17	P625	P186	P195_1	P248_C1	P195_2	P248_C2	P195_3	P248_C3	P189_country	P189_place	P2043	P2048	P2049	P1684	P518_I	P6568_1	P518_IE1	P6568_2	P518_IE2	P6568_3	P518_IE3	P6568_4	P518_IE4	P6568_5	P518_IE5	P5816
en	CIIC 116	Ogam Stone CIIC 116	Ogam Stone 6 (Stone Corridor at UCC)	de	CIIC 116	Ogam Stein CIIC 116	Ogham Stein 6 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680611,-8.794719444444445	Q70383318	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	25.4	190.05	43.18	BRANI MAQQI MUCC[OI......]R[A]L[...	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778							Q56557591
en	CIIC 113	Ogam Stone CIIC 113	Ogam Stone 5 (Stone Corridor at UCC)	de	CIIC 113	Ogam Stein CIIC 113	Ogham Stein 5 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680611,-8.794719444444445	Q207079	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	22.86	175.26	38.1	VEQIKAMI MAQI LUGUNI		Q67381254		Q67383482								Q56557591
en	CIIC 81	Ogam Stone CIIC 81	Ogam Stone 4 (Stone Corridor at UCC)	de	CIIC 81	Ogam Stein CIIC 81	Ogham Stein 4 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8163889,-8.761666666666667	Q22731			Q69379477	Q69379477			Q162475	Q69385525	17.78	175.26	48.26	C[A]SSITT[A]S MAQI MUCOI CALLITI	Q18122778	Q67381254		Q67999759								Q56557591
en	CIIC 117	Ogam Stone CIIC 117	Ogam Stone 3 (Stone Corridor at UCC)	de	CIIC 117	Ogam Stein CIIC 117	Ogham Stein 3 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	51.8680556,-8.794722222222221	Q1932127	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	27.94	156.21	40.46	COLLOS												Q56557159
en	CIIC 115	Ogam Stone CIIC 115	Ogam Stone 2 (Stone Corridor at UCC)	de	CIIC 115	Ogam Stein CIIC 115	Ogham Stein 2 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	52.0611111,-9.642777777777777	Q22731	Q69383371	Q70256237	Q69379477	Q69379477			Q162475	Q69383268	25.4	310.6	40.46	CULRIGAI MAQI MENUMAQ[I]		Q67381254										Q56557159
en	CIIC 103	Ogam Stone CIIC 103	Ogam Stone 1 (Stone Corridor at UCC)	de	CIIC 103	Ogam Stein CIIC 103	Ogham Stein 1 (Stein Corridor UCC)	Q2016147	Q67978809	Q27	53.00444,-8.83	Q13085			Q69379477	Q69379477			Q162475	Q69378412	10.16	142.24	38.1	CARRTTACC GAQI MU CAGG[I]	Q18122778	Q67381254	Q18122778	Q67999759	Q18122778							Q56557591
en	CIIC 89	Ogam Stone CIIC 89	Ogam Stone 7 (Stone Corridor at UCC)	de	CIIC 89	Ogam Stein CIIC 89	Ogham Stein 7 (Stein Corridor at UCC)	Q2016147	Q67978809	Q27																										
en	CIIC 93	Ogam Stone CIIC 93	Ogam Stone 8 (Stone Corridor at UCC)	de	CIIC 93	Ogam Stein CIIC 93	Ogham Stein 8 (Stein Corridor at UCC)	Q2016147	Q67978809	Q27																										
en	CIIC 85	Ogam Stone CIIC 85	Ogam Stone 9 (Stone Corridor at UCC)	de	CIIC 85	Ogam Stein CIIC 85	Ogham Stein 9 (Stein Corridor at UCC)	Q2016147	Q67978809	Q27																										
en	CIIC 96	Ogam Stone CIIC 96	Ogam Stone 10 (Stone Corridor at UCC)	de	CIIC 96	Ogam Stein CIIC 96	Ogham Stein 10 (Stein Corridor at UCC)	Q2016147	Q67978809	Q27																										
en	CIIC 87	Ogam Stone CIIC 87	Ogam Stone 11 (Stone Corridor at UCC)	de	CIIC 87	Ogam Stein CIIC 87	Ogham Stein 11 (Stein Corridor at UCC)	Q2016147	Q67978809	Q27																										
