WikidataID	lang_en	label_en	P1545_ciic	description_en	alias_en	lang_de	label_de	description_de	alias_de	P625_coord	P189_place	P17_country	P189_county	P1684	P518_I
Q70892506	en	CIIC 101	101	Ogam Stone CIIC 101		de	CIIC 101	Ogam Stein CIIC 101		51.8386111,-8.608333333333333	Q85394010	Q27	Q162475	MAQI-ESEA MAQI DOMANEQI	
Q70892509	en	CIIC 102	102	Ogam Stone CIIC 102		de	CIIC 102	Ogam Stein CIIC 102		51.8386111,-8.608333333333333	Q85394010	Q27	Q162475	DILOGONN	
Q69377850	en	CIIC 103	103	Ogam Stone CIIC 103	Ogam Stone 1 (Stone Corridor at UCC)	de	CIIC 103	Ogam Stein CIIC 103	Ogham Stein 1 (Stein Corridor UCC)	52.0158333,-8.818333333333333	Q69378412	Q27	Q162475	CARRTTACC GAQI MU CAGG[I]	Q18122778
Q70892510	en	CIIC 104	104	Ogam Stone CIIC 104		de	CIIC 104	Ogam Stein CIIC 104		51.9558333,-8.823888888888888	Q85394077	Q27	Q162475	ANM CORRE MAQVI UDD[GLO]METT	Q18122778
Q70885728	en	CIIC 105	105	Ogam Stone CIIC 105	Ogam Stone 23 (Stone Corridor at UCC)	de	CIIC 105	Ogam Stein CIIC 105	Ogham Stein 23 (Stein Corridor at UCC)	51.9558333,-8.823888888888888	Q85394077	Q27	Q162475	ANM NETACUNAS CELI VIDETTAS	
Q70892513	en	CIIC 106	106	Ogam Stone CIIC 106		de	CIIC 106	Ogam Stein CIIC 106		51.9408333,-8.887777777777778	Q85393938	Q27	Q162475	[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI	Q18122778
Q70885727	en	CIIC 107	107	Ogam Stone CIIC 107	Ogam Stone 22 (Stone Corridor at UCC)	de	CIIC 107	Ogam Stein CIIC 107	Ogham Stein 22 (Stein Corridor at UCC)	51.9911111,-8.866111111111111	Q85394126	Q27	Q162475	CUNAGUSSOS MA[...	Q18122778
Q70892516	en	CIIC 108	108	Ogam Stone CIIC 108		de	CIIC 108	Ogam Stein CIIC 108		51.9875,-8.81	Q85394079	Q27	Q162475	LUGUDUC MAQI MAQI-OC [...	Q18122778
Q70892518	en	CIIC 109	109	Ogam Stone CIIC 109		de	CIIC 109	Ogam Stein CIIC 109		51.9855556,-8.789444444444444	Q85394014	Q27	Q162475	UDDMENSA CELI NETTASLOGI	
Q70892523	en	CIIC 110	110	Ogam Stone CIIC 110		de	CIIC 110	Ogam Stein CIIC 110		51.9575,-8.83888888888889	Q85393940	Q27	Q162475	B..Q.....HAGA......DL	Q18122778
Q70892526	en	CIIC 111	111	Ogam Stone CIIC 111		de	CIIC 111	Ogam Stein CIIC 111		51.9575,-8.83888888888889	Q85393940	Q27	Q162475	LUDUDECA MAQU SI[TT?]ALI MUCOI M...	Q18122778
Q70885739	en	CIIC 112	112	Ogam Stone CIIC 112	Ogam Stone 27 (Stone Corridor at UCC)	de	CIIC 112	Ogam Stein CIIC 112	Ogham Stein 27 (Stein Corridor at UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	MICANAVVI MAQ LUGUNI	
Q70382440	en	CIIC 113	113	Ogam Stone CIIC 113	Ogam Stone 5 (Stone Corridor at UCC)	de	CIIC 113	Ogam Stein CIIC 113	Ogham Stein 5 (Stein Corridor UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	VEQIKAMI MAQI LUGUNI	
Q70885736	en	CIIC 114	114	Ogam Stone CIIC 114	Ogam Stone 2a/b6 (Stone Corridor at UCC)	de	CIIC 114	Ogam Stein CIIC 114	Ogham Stein 26a/b (Stein Corridor at UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	GRIMIGGN[I MAQ]I CERC...	
Q69383434	en	CIIC 115	115	Ogam Stone CIIC 115	Ogam Stone 2 (Stone Corridor at UCC)	de	CIIC 115	Ogam Stein CIIC 115	Ogham Stein 2 (Stein Corridor UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	CULRIGAI MAQI MENUMAQ[I]	
Q70382438	en	CIIC 116	116	Ogam Stone CIIC 116	Ogam Stone 6 (Stone Corridor at UCC)	de	CIIC 116	Ogam Stein CIIC 116	Ogham Stein 6 (Stein Corridor UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	BRANI MAQQI MUCC[OI......]R[A]L[...	Q18122778
Q69385241	en	CIIC 117	117	Ogam Stone CIIC 117	Ogam Stone 3 (Stone Corridor at UCC)	de	CIIC 117	Ogam Stein CIIC 117	Ogham Stein 3 (Stein Corridor UCC)	51.8680556,-8.794722222222221	Q69383268	Q27	Q162475	COLLOS	
