wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85393909	en	Tullycommon	Tullycommon Townland, Co. Clare		Q2151232	Q27	Q131438	Q181862	Q16892654		Q59723651	53.0222222,-9.063611111111111	4670081			52	1	https://www.townlands.ie/clare/inchiquin/glenroe/tullycommon/	
Q85394775	en	Ennis Ogham Site	Ennis 		Q1357964	Q27	Q131438	Q181862				52.8463,-8.9807				53	1		town Q209128
Q85393912	en	Shantraud	Shantraud Townland, Co. Clare	An tSeantsráid	Q2151232	Q27	Q131438	Q181862		Q16890441	Q59724056	52.8033333,-8.447777777777778	5616517			54	1	https://www.townlands.ie/clare/tulla-lower/killaloe/killaloe/shantraud/	in MacAlister named Killaloe, which is a town. As the stone was found in the cathedral, this townland was used.
Q85394096	en	Coomleagh East / Coomlia	Coomleagh East Townland, Co. Cork	An Com Liath Thoir	Q2151232	Q27	Q131438	Q162475	Q4863005	Q60555274	Q59724346	51.7330556,-9.28361111111111	5990863			55	1	https://www.townlands.ie/cork/bantry/kilmocomoge/mealagh/coomleagh-east/	
Q85393991	en	Burnfort	Burnfort Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q4863004	Q60556021	Q59724741	52.0680556,-8.599444444444446	5860030			56	1	https://www.townlands.ie/cork/barretts/mourneabbey/ballynamona/burnfort/	
Q85393914	en	Ballynabortagh	Ballynabortagh Townland, Co. Cork	Baile na bPórtach	Q2151232	Q27	Q131438	Q162475	Q4863006	Q60554148	Q59724457	52.0102778,-8.453333333333333	6384608			59,60	2	https://www.townlands.ie/cork/barrymore/dunbulloge/killeagh/ballynabortagh/	
Q85393915	en	Bishop's Island	Bishop's Island Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q4863006	Q60553303	Q59724571	52.0086111,-8.360555555555555	6368014			61	1	https://www.townlands.ie/cork/barrymore/ardnageehy/watergrasshill/bishops-island/	descision for Bishop's Island in Ardnageehy, because it is larger and also used in http://webgis.archaeology.ie/historicenvironment/
Q85393918	en	Dunbulloge	Dunbulloge Townland, Co. Cork 	Dún Bolg	Q2151232	Q27	Q131438	Q162475	Q4863006	Q60554148	Q59724457	51.9808333,-8.452777777777778	6385377			62	1	https://www.townlands.ie/cork/barrymore/dunbulloge/killeagh/dunbulloge/	
Q85393995	en	Glenawillin	Glenawillin Townland, Co. Cork	Gleann an Mhuilinn 	Q2151232	Q27	Q131438	Q162475	Q4863006	Q60557056	Q59724834	51.9694444,-8.175555555555555	6384971			63,64	2	https://www.townlands.ie/cork/barrymore/templenacarriga/templenacarriga/glenawillin/	
Q85393922	en	Rathcobane	Rathcobane Townland, Co. Cork	Ráth Ghobáin	Q2151232	Q27	Q131438	Q162475	Q4863006		Q59724831	52.0052778,-8.24611111111111	6388535			65	1	https://www.townlands.ie/cork/barrymore/templebodan/rathcobane/	
Q85393998	en	Faunkill and the Woods / BallycrovaneFaunkill and the Woods Townland, Co. Cork		Fánchoill agus Na Coillte	Q2151232	Q27	Q131438	Q162475	Q59419895	Q60554598	Q59724366	51.7122222,-9.935277777777777	4793209	8780		66	1	https://www.townlands.ie/cork/bear/kilcatherine/kilcatherine/faunkill-and-the-woods/	
Q85394098	en	Gour	Gour Townland, Co. Cork	Gamhair 	Q2151232	Q27	Q131438	Q162475	Q59419895	Q60554983	Q59724369	51.6288889,-9.981666666666667	5812537	8815		67	1	https://www.townlands.ie/cork/bear/killaconenagh/killaconenagh/gour/	
Q85394111	en	Kilcaskan	Kilcaskan Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q59419895	Q60554595	Q59724357	51.7275,-9.711944444444443	5979103			68	1	https://www.townlands.ie/cork/bear/kilcaskan/adrigole/kilcaskan/	
Q85394002	en	Ahalisky	Ahalisky Townland, Co. Cork	Achadh Loiscthe	Q2151232	Q27	Q131438	Q162475	Q59419891	Q60555244	Q59724399	51.6788889,-8.846944444444444	5994609	9071		69,70,71	3	https://www.townlands.ie/cork/east-carbery-east-division/kilmaloda/kilmaloda-west/ahalisky/	
Q85394004	en	Aultagh	Aultagh Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q59419893	Q60555272	Q59724485	51.7708333,-9.088055555555556	6156514			72	1	https://www.townlands.ie/cork/east-carbery-west-division/kilmichael/aultagh/aultagh/	
Q85393926	en	Carhoovauler	Carhoovauler Townland, Co. Cork	Ceathrú Bhaldair	Q2151232	Q27	Q131438	Q162475	Q59419891	Q60553993	Q59724405	51.6883333,-8.95611111111111	5995001			73,74	2	https://www.townlands.ie/cork/east-carbery-east-division/desertserges/knocks/carhoovauler/	
Q85393928	en	Keenrath	Keenrath Townland, Co. Cork	Caoinráth	Q2151232	Q27	Q131438	Q162475	Q59419893	Q60554257	Q59724511	51.7594444,-9.185833333333333	5990901	9881		75	1	https://www.townlands.ie/cork/east-carbery-west-division/fanlobbus/garrown/keenrath/	
Q85394006	en	Templebryan North	Templebryan North Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q59419891	Q60557013	Q59724387	51.645,-8.893055555555556	5998059			76	1	https://www.townlands.ie/cork/east-carbery-east-division/templebryan/clonakilty-rural/templebryan-north/	descision for Templebryan North, because it is linked so in http://webgis.archaeology.ie/historicenvironment/
Q85393931	en	Burgatia / Teampuleen Fachtna	Burgatia Townland, Co. Cork	An Bhuirgéiseach	Q2151232	Q27	Q131438	Q162475	Q59419893	Q60556489		51.5777778,-9.0125	5908298	9138		77	1	https://www.townlands.ie/cork/east-carbery-west-division/ross/rosscarbery/burgatia/	
Q85394074	en	Coolowen	Coolowen Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q4863014	Q60557235	Q59724483	51.9577778,-8.539722222222222	5688488			78	1	https://www.townlands.ie/cork/cork/whitechurch/whitechurch/coolowen/	
Q85393934	en	Rathcanning	Rathcanning Townland, Co. Cork	Ráth an Cheanainn	Q2151232	Q27	Q131438	Q162475	Q6005701	Q60554161	Q59724814	51.9772222,-8.075555555555555	6364485			79,80	2	https://www.townlands.ie/cork/imokilly/dungourney/dungourney/rathcanning/	
Q85394270	en	Ballyknock Townland	Ballyknock Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q56055358	Q60553522		52.0269444,-8.071111111111112	6356326	9970		82,83,84,85,86,87,88,89,90,91,92,93,94,95,96	15	https://www.townlands.ie/cork/kinatalloon/ballynoe/ballynoe/ballyknock/	
Q85394010	en	Ballyhank	Ballyhank Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60555321	Q59724419	51.8386111,-8.608333333333333	6169174			97,98,99,100,101,102	6	https://www.townlands.ie/cork/east-muskerry/kilnaglory/ballincollig/ballyhank/	
Q85394077	en	Coolineagh	Coolineagh Townland, Co. Cork	Cúil an Fhéich	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724696	51.9558333,-8.823888888888888	6173583	11342		104,105	2	https://www.townlands.ie/cork/east-muskerry/aghabulloge/clonmoyle/coolineagh/	
Q85393938	en	Deelish	Deelish Townland, Co. Cork	Duílis	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724714	51.9408333,-8.887777777777778	6175602	11434		106	1	https://www.townlands.ie/cork/east-muskerry/aghabulloge/kilberrihert/deelish/	
Q85394126	en	Glenaglogh North	Glenaglogh North Townland, Co. Cork	Gleann na gCloch Thuaidh	Q2151232	Q27	Q131438	Q162475	Q6942774	Q60552483	Q59724725	51.9911111,-8.866111111111111	6173334	11549		107	1	https://www.townlands.ie/cork/east-muskerry/aghabulloge/mountrivers/glenaglogh-north/	
Q85394079	en	Kilcullen South	Kilcullen South Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942774	Q60554016	Q59724717	51.9875,-8.81	6173335			108	1	https://www.townlands.ie/cork/east-muskerry/donaghmore/kilcullen/kilcullen-south/	
