wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85391730	en	Kilcumney	Kilcumney Townland, Co. Carlow	Cill Chuimne 	Q2151232	Q27	Q159736	Q181882	Q25051535	Q60553438	Q59718642	52.6316667,-6.956388888888889	2244326			14	1	https://www.townlands.ie/carlow/idrone-east/ballyellin/ballyellin/kilcumney/	
Q85391717	en	Clonmore	Clonmore Townland, Co. Carlow	Cluain Mhór 	Q2151232	Q27	Q159736	Q181882	Q25351592	Q60553831	Q59718613	52.8263889,-6.573611111111111	2249949			15	1	https://www.townlands.ie/carlow/rathvilly/clonmore/clonmore/clonmore/	
Q85391648	en	Rathglass	Rathglass Townland, Co. Carlow	An Ráth Ghlas	Q2151232	Q27	Q159736	Q181882	Q25351592	Q60557183	Q59718782	52.7819444,-6.716666666666667	2247228			16	1	https://www.townlands.ie/carlow/rathvilly/tullowphelim/tullow-rural/rathglass/	
Q85391650	en	Tuckamine	Tuckamine Townland, Co. Carlow	Toca Mín	Q2151232	Q27	Q159736	Q181882	Q25351592	Q60556436	Q59718630	52.8480556,-6.727222222222222	2203853			17	1	https://www.townlands.ie/carlow/rathvilly/rathvilly/williamstown/tuckamine/	
Q85391732	en	Portmarnock	Portmarnock Townland, Co. Dublin	Port Mearnóg 	Q2151232	Q27	Q159736	Q173500		Q60556293		53.4197222,-6.152500000000001	5436853			18	1	https://www.townlands.ie/dublin/coolock/portmarnock/portmarnock/	
Q85391699	en	Dun Laoghaire	Dunleary Townland, Co. Dublin	Kingstown (1821-1921)	Q2151232	Q27	Q159736	Q173500	Q17006630			53.2933333,-6.142222222222222	3661256	17499		"w/o number
"	1	https://www.townlands.ie/dublin/rathdown/dunleary/	
Q85391762	en	Colbinstown / Killeen Cormac	Colbinstown Townland, Co. Kildare	Baile Choilbín 	Q2151232	Q27	Q159736	Q173332	Q22084174	Q60553969	Q59719602	53.0311111,-6.756388888888889	4780861			19,20,21,22,23,24,25	7	https://www.townlands.ie/kildare/narragh-reban-east/davidstown/inchaquire/colbinstown/	
Q85391654	en	Donaghmore	Donaghmore Townland, Co. Kildare	Domhnach Mór 	Q2151232	Q27	Q159736	Q173332	Q22084181	Q60554019	Q54376822	53.3752778,-6.551111111111111	4547533			26	1	https://www.townlands.ie/kildare/north-salt/donaghmore/maynooth/donaghmore/	
Q85391701	en	Ballyspellan	Ballyspellan Townland, Co. Kilkenny	Baile Uí Spealáin	Q2151232	Q27	Q159736	Q180231	Q4863023	Q60554280	Q59720009	52.76,-7.524444444444445	4759866			27	1	https://www.townlands.ie/kilkenny/galmoy/fertagh/glashare/ballyspellan/	
Q85391656	en	Churchclara / Clarah	Churchclara Townland, Co. Kilkenny 	Clárach an Teampaill	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60553754	Q59719855	52.6513889,-7.150555555555556	4833040			28	1	https://www.townlands.ie/kilkenny/gowran/clara/clara/churchclara/	
Q85391719	en	Dunbell Big	Dunbell Big Townland, Co. Kilkenny	Dún Bile Mór	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60554143	Q59719860	52.6177778,-7.1722222222222225	4834616			29,30	2	https://www.townlands.ie/kilkenny/gowran/dunbell/dunbell/dunbell-big/	
Q85391658	en	Fiddaun Upper	Fiddaun Upper Townland, Co. Kilkenny	An Feadán Uachtarach 	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60554507	Q59719920	52.5188889,-7.036388888888888	5357487			31	1	https://www.townlands.ie/kilkenny/gowran/inistioge/famma/fiddaun-upper/	
Q85391704	en	Gowran	Gowran Townland, Co. Kilkenny 	Gabhrán	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60554376	Q59719866	52.6325,-7.066111111111111	5122565			32	1	https://www.townlands.ie/kilkenny/gowran/gowran/gowran/gowran/	
Q85391660	en	Graiguenamanagh	Graiguenamanagh Townland, Co. Kilkenny 	Gráig na Manach 	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60554378	Q59719928	52.5425,-6.958055555555556	5349535			33	1	https://www.townlands.ie/kilkenny/gowran/graiguenamanagh/graiguenamanagh/graiguenamanagh/	
Q85391706	en	Legan	Legan Townland, Co. Kilkenny 	An Liagán	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60553468	Q59719966	52.5386111,-7.158611111111111	5234537			34	1	https://www.townlands.ie/kilkenny/gowran/ballylinch/thomastown/legan/	
Q85391735	en	Tullaherin	Tullaherin Townland, Co. Kilkenny 	An Tulaigh Thirim	Q2151232	Q27	Q159736	Q180231	Q28224604	Q60557175	Q59719971	52.5775,-7.121388888888888	5371753			35	1	https://www.townlands.ie/kilkenny/gowran/tullaherin/tullaherin/tullaherin/	
Q85391666	en	Lamoge	Lamoge Townland, Co. Kilkenny	Lamóg	Q2151232	Q27	Q159736	Q180231	Q30589034	Q60557176	Q59719780	52.4438889,-7.360833333333333	5251020			36,37	2	https://www.townlands.ie/kilkenny/kells/tullahought/kilmaganny/lamoge/	
Q85391668	en	Barnaveddoge	Barnaveddoge Townland, Co. Louth 	Barr na bhFeadóg	Q2151232	Q27	Q159736	Q183539	Q25351691	Q60554066	Q59720911	53.845,-6.476666666666667	5398547			39	1	https://www.townlands.ie/louth/ardee/dromin/dromin/barnaveddoge/	
Q85391671	en	Painestown / Saneschalstown	Painestown Townland, Co. Meath		Q2151232	Q27	Q159736	Q183544	Q60493393	Q60556265	Q59721341	53.6733333,-6.559166666666666	4640570			40	1	https://www.townlands.ie/meath/lower-duleek/painestown/painestown/painestown/	
Q85391673	en	Castlekeeran	Castlekeeran Townland, Co. Meath		Q2151232	Q27	Q159736	Q183544	Q59419956	Q60555772	Q59721170	53.7358333,-6.96	4633194			41	1	https://www.townlands.ie/meath/upper-kells/loughan-or-castlekeeran/castlekeeran/castlekeeran/	
Q85391707	en	Balloughton	Balloughton Townland, Co. Wexford	Baile Achtain	Q2151232	Q27	Q159736	Q184599	Q4860618	Q60554600	Q59719600	52.2505556,-6.720555555555555	3431012			42	1	https://www.townlands.ie/wexford/bargy/kilcavan/harristown/balloughton/	
Q85391722	en	Great Saltee Island	Saltee Island Great Townland, Co. Wexford 		Q2151232	Q27	Q159736	Q184599	Q4860618		Q59723052	52.1173,-6.6177	3519152			43	1	https://www.townlands.ie/wexford/kilmore/saltee-island-great/	
Q85391675	en	Cotts	Cotts Townland, Co. Wexford	Na Botha	Q2151232	Q27	Q159736	Q184599	Q59419984	Q60556771	Q59723104	52.2152778,-6.4275	3671216			44	1	https://www.townlands.ie/wexford/forth/tacumshin/tacumshin/cotts/	
