lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	ciic	P973_link_townland_ie
en	Inchagoill	Inchagoill Townland, Co. Galway		Q2151232	Q27	Q164421	Q169923	Ross	Q60553884	Cong	53.4855556, -9.316944444444443	3506016	1	https://www.townlands.ie/galway/ross/cong/cong/inchagoill/
en	Cloonmorris	Cloonmorris Townland, Co. Leitrim		Q2151232	Q27	Q164421	Leitrim	Mohill	Q60555935	Q59729888	53.8163889, -7.870555555555556	4628215	2	https://www.townlands.ie/mayo/costello/kilbeagh/cloonmore/cloonmore/
en	Island	Island Townland, Co. Mayo	An tOileán	Q2151232	Q27	Q164421	Q178626	Q4863015	Q60553584	Q59730319	53.7816667, -8.805000000000001	5745597	3	https://www.townlands.ie/mayo/costello/bekan/bekan/island/
en	Kilmannin Townland	Kilmannin Townland, Co. Mayo	Cill Mhainín	Q2151232	Q27	Q164421	Q178626	Q4863015	Q60553584	Q59730350	53.7736111,-8.765555555555556	5745598	4	https://www.townlands.ie/mayo/costello/bekan/loughanboy/kilmannin/
en	Rusheens East	Rusheens East Townland, Co. Mayo	An Roisín Thoir 	Q2151232	Q27	Q164421	Q178626	Q4863015	Q60555304	Q59730441	53.8961111, -8.665277777777778	5652586	5	https://www.townlands.ie/mayo/costello/kilmovee/kilmovee/rusheens-east/
en	Tullaghaun	Tullaghaun Townland, Co. Mayo	An Tulchán	Q2151232	Q27	Q164421	Q178626	Q4863015	Q60553259	Q59730331	53.7286111, -8.709444444444443	5740104	6	https://www.townlands.ie/mayo/costello/annagh/course/tullaghaun/
en	Corrower	Corrower Townland, Co. Mayo	Corr Odhar	Q2151232	Q27	Q164421	Q178626	Q4863021	Q60553344	Q59730060	54.0744444, -9.08388888888889	5714333	7	https://www.townlands.ie/mayo/gallen/attymass/sallymount/corrower/
en	Dooghmakeon	Dooghmakeon Townland, Co. Mayo	Dumhach Mhic Eoghain	Q2151232	Q27	Q164421	Q178626	Q59419949	Q60554741	Q59730568	53.7463889, -9.870000000000001	6138946	8	https://www.townlands.ie/mayo/murrisk/kilgeever/emlagh/dooghmakeon/
en	Aghaleague	Aghaleague Townland, Co. Mayo	Achadh Liag 	Q2151232	Q27	Q164421	Q178626	Q7809156	Q22084091	Q59729958	54.2602778, -9.330833333333333	5745317	9	https://www.townlands.ie/mayo/tirawley/lackan/ballycastle/aghaleague/
en	Breastagh	Breastagh Townland, Co. Mayo	Bréisteach	Q2151232	Q27	Q164421	Q178626	Q7809156	Q60557054	Q59730041	54.2486111, -9.248055555555554	4250662	10	https://www.townlands.ie/mayo/tirawley/templemurry/lackan-south/breastagh/
